epoch,train_loss,eval_loss,eval_top1,eval_top5
27,3.605299653076544,1.3083453125,71.564,89.756
epoch,train_loss,eval_loss,eval_top1,eval_top5
27,3.605299653076544,1.3083453125,71.564,89.756
epoch,train_loss,eval_loss,eval_top1,eval_top5
27,3.605299653076544,1.3083453125,71.564,89.756
epoch,train_loss,eval_loss,eval_top1,eval_top5
28,3.5646431736829802,1.2825109375,71.972,90.024
epoch,train_loss,eval_loss,eval_top1,eval_top5
28,3.5646431736829802,1.2825109375,71.972,90.024
epoch,train_loss,eval_loss,eval_top1,eval_top5
28,3.5646431736829802,1.2825109375,71.972,90.024
epoch,train_loss,eval_loss,eval_top1,eval_top5
29,3.531343902029642,1.25839375,72.404,90.348
epoch,train_loss,eval_loss,eval_top1,eval_top5
29,3.531343902029642,1.25839375,72.404,90.348
epoch,train_loss,eval_loss,eval_top1,eval_top5
29,3.531343902029642,1.25839375,72.404,90.348
epoch,train_loss,eval_loss,eval_top1,eval_top5
30,3.515655732736355,1.236009375,72.784,90.596
epoch,train_loss,eval_loss,eval_top1,eval_top5
30,3.515655732736355,1.236009375,72.784,90.596
epoch,train_loss,eval_loss,eval_top1,eval_top5
30,3.515655732736355,1.236009375,72.784,90.596
epoch,train_loss,eval_loss,eval_top1,eval_top5
31,3.474535122150328,1.214259375,73.168,90.772
epoch,train_loss,eval_loss,eval_top1,eval_top5
31,3.474535122150328,1.214259375,73.168,90.772
epoch,train_loss,eval_loss,eval_top1,eval_top5
31,3.474535122150328,1.214259375,73.168,90.772
epoch,train_loss,eval_loss,eval_top1,eval_top5
32,3.5342460841667362,1.195925,73.612,91.052
epoch,train_loss,eval_loss,eval_top1,eval_top5
32,3.5342460841667362,1.195925,73.612,91.052
epoch,train_loss,eval_loss,eval_top1,eval_top5
32,3.5342460841667362,1.195925,73.612,91.052
epoch,train_loss,eval_loss,eval_top1,eval_top5
33,3.4022180452579405,1.17826875,73.916,91.252
epoch,train_loss,eval_loss,eval_top1,eval_top5
33,3.4022180452579405,1.17826875,73.916,91.252
epoch,train_loss,eval_loss,eval_top1,eval_top5
33,3.4022180452579405,1.17826875,73.916,91.252
epoch,train_loss,eval_loss,eval_top1,eval_top5
34,3.4588057704088166,1.1623015625,74.228,91.34
epoch,train_loss,eval_loss,eval_top1,eval_top5
34,3.4588057704088166,1.1623015625,74.228,91.34
epoch,train_loss,eval_loss,eval_top1,eval_top5
34,3.4588057704088166,1.1623015625,74.228,91.34
epoch,train_loss,eval_loss,eval_top1,eval_top5
35,3.430227750685157,1.1479875,74.624,91.596
epoch,train_loss,eval_loss,eval_top1,eval_top5
35,3.430227750685157,1.1479875,74.624,91.596
