epoch,train_loss,eval_loss,eval_top1,eval_top5,ema_eval_loss,ema_eval_top1,ema_eval_top5
0,6.866603357451303,6.647825,0.9500000693321228,3.506000117969513,7.00359375,0.11200000677108765,0.5160000340461731
1,6.636711665562221,6.00335,3.3120001914024355,10.686000428771973,6.9984875,0.09800000610351563,0.5380000422477722
2,6.453379579952785,5.5171625,6.362000342559814,17.828000677490234,6.9903125,0.0980000072479248,0.5260000402450562
3,6.250145605632237,4.91485,11.74600051574707,28.236001342773438,6.986725,0.09400000991821289,0.5020000391006469
4,5.969110454831805,4.133125,20.00200078125,41.76800225830078,6.99458125,0.1120000093460083,0.5120000390052796
5,5.611744846616473,3.47813125,29.024001104736328,54.350002734375,7.0195125,0.10600000820159912,0.5140000462532044
6,5.26775416306087,3.1553625,34.85400213623047,61.36000270996094,7.06875625,0.10400000839233399,0.522000037765503
7,5.149167946406773,2.7962375,40.680002221679686,67.63200375976562,7.12161875,0.10000000762939452,0.5340000274658203
8,4.905951755387442,2.553046875,44.63800249023438,71.56800400390625,7.135925,0.10000000762939452,0.5340000374794006
9,4.674884745052883,2.31355,48.92600244140625,74.88800356445313,7.1018375,0.1240000093460083,0.5840000558853149
10,4.623503054891314,2.1362375,52.80600256347656,78.4880041015625,7.05055625,0.10800000944137574,0.6180000288963318
11,4.532003198351179,1.987840625,55.72800229492187,80.86400498046875,7.01486875,0.12800000982284546,0.6260000447273254
12,4.28162887266704,1.887496875,58.10800246582031,82.2800041015625,6.99480625,0.15400000705718994,0.7180000539779663
13,4.285101481846401,1.89331875,59.44400229492187,83.35800454101563,6.98405,0.188000013256073,0.74000002784729
14,4.1915978874479025,1.71165625,60.98000290527344,84.33000561523437,6.9746375,0.21000001831054688,0.8160000555038452
15,4.173291138240269,1.7442,61.90000327148437,85.240004296875,6.9577625,0.2540000126838684,0.9020000633239746
16,4.008313196046012,1.617959375,63.18800329589844,86.26600434570312,6.92450625,0.274000023651123,1.074000096988678
17,4.088108514036451,1.55719375,64.52400417480469,86.69000380859374,6.8621125,0.3720000371932983,1.4660000933647155
18,4.01418365750994,1.502871875,65.52400307617188,87.48600336914062,6.75006875,0.680000040435791,2.414000124835968
19,3.9722067628587996,1.4947125,66.21600336914062,87.83200458984375,6.53728125,1.6360001160621642,5.182000402450561
20,3.848830989428929,1.426659375,67.0260038330078,88.53400454101562,6.14553125,4.664000286960602,12.446000563049317
21,3.8260227271488736,1.44868125,66.866003515625,88.55000385742187,5.5280625,11.156000561523438,25.68000121459961
22,3.841925706182207,1.406065625,67.75400314941406,89.00400444335938,4.7843125,20.564000842285157,41.030002270507815
23,3.7584109050886974,1.3719125,68.60200393066407,89.3840037109375,4.06385625,29.928001434326173,53.92200249023438
24,3.8404954501560757,1.3322375,68.87400349121094,89.62800366210938,3.4238375,38.54600212402344,63.81400341796875
25,3.7726083738463267,1.34608125,69.3980033203125,89.84000395507813,2.90756875,45.502002087402346,70.80400393066407
26,3.7252665672983443,1.314046875,69.68000378417969,89.89600375976562,2.51650625,50.73400212402344,75.62000581054687
