epoch,train_loss,eval_loss,eval_top1,eval_top5,ema_eval_loss,ema_eval_top1,ema_eval_top5
0,6.813229144703258,6.4307625,1.732000097179413,5.862000332164764,7.032925,0.11000000638961792,0.532000033378601
1,6.534968714280562,5.59585,5.508000319004059,16.066000957870482,7.0144125,0.09600000629425048,0.4920000331878662
2,6.158460036191073,4.36454375,16.83800076599121,37.78600203857422,7.019525,0.1040000078201294,0.5240000381469726
3,5.634863055836071,3.299071875,31.222001611328125,57.72400308837891,7.0248875,0.1040000078201294,0.49400002985000613
4,5.171933156793767,2.675778125,41.78000242919922,68.84800386962891,7.0169125,0.11600001010894775,0.544000039100647
5,4.904727172851563,2.38068125,47.54600249023437,74.46600469970703,6.99438125,0.1400000078201294,0.6080000361442566
6,4.629417523470792,2.15693125,52.206002709960934,77.87000423583984,6.97675,0.20800001850128175,0.7520000490188599
7,4.508095242760398,1.9970421875,55.53600233764649,81.03800498046876,6.9440625,0.260000018119812,0.7900000637054443
8,4.455443464625965,1.9493640625,57.480003125,82.29200437011718,6.85538125,0.4340000392913818,1.3320000869750976
9,4.355873775482178,1.7976921875,58.93600288085938,83.322005078125,6.48308125,2.0160001450538636,5.998000337028503
10,4.267975659803911,1.67738125,61.13800349121094,84.80600583496094,5.431925,12.838000746917725,28.988001623535155
11,4.192117040807551,1.6682640625,62.21600347900391,85.59400563964844,4.00024375,32.210001736450195,56.548003253173825
12,4.086608418551358,1.5148953125,64.54200338134766,87.18400568847656,2.850975,46.438002325439456,71.904003515625
13,4.084758611158891,1.517990625,65.14800377197265,87.488005078125,2.153071875,54.956002722167966,79.4140046875
14,3.991752351414074,1.4642125,66.3320033569336,88.22000573730469,1.7576125,60.23600301513672,83.5440048828125
15,3.904823264208707,1.46661875,66.82200358886719,88.20200524902344,1.5339625,63.56400354003906,86.06800573730469
16,3.958040714263916,1.3983265625,67.50200374755859,88.95800534667968,1.39371875,66.06800358886719,87.79400571289062
17,3.7475810354406183,1.398940625,68.2140037109375,89.20600510253907,1.30250234375,67.90800407714843,88.89800561523438
18,3.8383814118125223,1.472971875,68.09600354003906,89.13600571289062,1.2391234375,69.31400327148438,89.66800581054687
19,3.8616699522191826,1.2955765625,69.21000384521484,89.83800571289062,1.192734375,70.40800396728515,90.33800549316406
20,3.7966505007310345,1.277646875,69.60200358886719,90.10400493164063,1.1585015625,71.25400402832031,90.74200529785156
21,3.7285767728632147,1.308065625,69.49800399169922,89.8960056640625,1.13234765625,71.94600411376953,91.12800522460938
22,3.7058064287359063,1.346021875,69.61600379638672,90.33600571289062,1.11271171875,72.4260039794922,91.39400539550782
23,3.794280195236206,1.3509296875,69.84000406494141,90.1820052001953,1.09737421875,72.92800418701172,91.64400632324218
24,3.650567457892678,1.25952109375,70.64200417480468,90.76400505371093,1.08665,73.46800415039063,91.89400573730468
25,3.7174938808787954,1.24890859375,70.77600358886718,90.8480046875,1.0777625,73.7880041381836,92.07400603027344
26,3.6228117899461227,1.21916484375,70.93600346679688,90.67200520019531,1.07136640625,74.14200417480468,92.18400583496094
27,3.690843829241666,1.2313703125,71.51800382080079,90.946005078125,1.066284375,74.36400368652343,92.33400568847657
28,3.6563546137376264,1.3008734375,71.17000383300781,91.05400590820312,1.062078125,74.58200408935546,92.47200541992187
29,3.592865579778498,1.290790625,70.94400380859375,90.88400576171875,1.05871953125,74.8020041748047,92.59800505371093
30,3.598982017690485,1.22223359375,71.29600338134766,91.07600551757812,1.05438984375,74.97600478515625,92.70600544433594
31,3.703775657307018,1.288478125,71.49600386962891,91.058005078125,1.05053046875,75.18400451660156,92.82800473632813
32,3.6101853630759497,1.2780375,71.0360037475586,91.01200598144531,1.04618984375,75.37400416259766,92.88400520019532
33,3.6201308250427244,1.2071078125,71.5920042602539,91.26600559082031,1.04268203125,75.53800446777343,93.000005859375
34,3.627286364815452,1.2037,71.80000380859374,91.30600561523437,1.039225,75.69400382080079,93.06800581054688
35,3.625031900405884,1.19597109375,72.25400424804687,91.56400498046875,1.03584921875,75.83800446777343,93.12000544433593
36,3.63287617076527,1.2362828125,71.57200401611328,91.31000571289063,1.03193203125,75.9180044555664,93.18800629882813
37,3.5926791061054577,1.227428125,71.94000418701172,91.31400551757812,1.02784375,75.96000427246094,93.27200510253907
38,3.6435348814184016,1.233596875,71.89400385742188,91.25800532226563,1.025346875,76.07000463867188,93.34400522460938
39,3.6727924650365655,1.1700984375,72.34600390625,91.64000595703125,1.02075625,76.17800443115235,93.39400588378906
40,3.60740178715099,1.2519078125,71.94800422363281,91.43800610351562,1.0165765625,76.40800416259765,93.48200534667968
41,3.5725357619198888,1.20975703125,72.35600375976563,91.57600563964844,1.0116421875,76.4900045288086,93.55600502929687
42,3.5665458592501555,1.161559375,72.17200412597656,91.47400629882813,1.007809375,76.6220043334961,93.60000541992187
43,3.5783870913765647,1.12741640625,73.06000306396484,92.05600593261718,1.00344921875,76.68600441894532,93.68000512695312
44,3.549772106517445,1.17256015625,73.0180040283203,91.93400646972657,0.9998078125,76.80400480957032,93.69800561523438
45,3.559350538253784,1.17756640625,72.52200369873047,91.72200551757813,0.9962,76.87000460205078,93.71800593261719
46,3.5447586319663307,1.1567234375,73.05600352783203,91.94400485839844,0.9929484375,76.96000437011719,93.73200581054688
47,3.6065443862568247,1.1671171875,72.57000363769531,91.5800055419922,0.98984921875,76.99800428466797,93.80600590820312
48,3.5282303376631305,1.162575,72.55600383300781,91.9020060546875,0.98567734375,77.11000391845702,93.83800544433593
49,3.5084381797096946,1.20430625,72.3960037475586,91.72000520019532,0.98137265625,77.15600382080078,93.87400559082032
50,3.5099689396944913,1.17465234375,72.71400408935547,91.78600563964844,0.97728046875,77.16400406494141,93.89400568847657
51,3.5661617972634057,1.1223453125,73.62400433349609,92.30400515136719,0.9743625,77.23000390625,93.95800534667968
52,3.524044132232666,1.16000390625,72.89400404052735,92.06400505371094,0.97122265625,77.37800462646484,93.97400510253907
53,3.5548692789944734,1.18896875,73.20600406494141,92.09000498046875,0.9692890625,77.42800397949219,93.99800598144532
54,3.4945728388699617,1.1457515625,73.14600384521485,92.0860055419922,0.96645390625,77.50200487060548,94.03200639648438
55,3.5145746057683773,1.1418,73.09600434570312,92.27000551757813,0.96438203125,77.5640046875,94.08800549316406
56,3.4673647360368207,1.15201171875,73.42200491943359,92.19200500488282,0.96129609375,77.63400432128907,94.08400556640625
57,3.4915107120167126,1.17229140625,73.47600402832032,92.07200532226562,0.958834375,77.6720046875,94.10400529785156
58,3.552465412833474,1.1706453125,73.6660041381836,92.2120056640625,0.95626328125,77.72600513916015,94.13800615234375
59,3.5149062503467907,1.15528359375,73.13200413818359,92.14000541992188,0.9538953125,77.82000422363281,94.18200595703125
60,3.533484224839644,1.10675703125,74.0700039428711,92.3600060546875,0.952315625,77.8480052368164,94.16000517578125
61,3.5179314266551627,1.2975921875,72.20400408935546,91.68200576171876,0.94916328125,77.84800498046874,94.23800473632812
62,3.5439461187882855,1.173984375,73.27800428466797,92.06800524902344,0.94690546875,77.82800450439453,94.26600522460937
63,3.506040078943426,1.169484375,73.14600418701171,92.23400510253906,0.94483125,77.89600441894531,94.26000561523438
64,3.478730973330411,1.128575,73.85400466308593,92.44800559082032,0.943134375,77.91400423583984,94.26400534667968
65,3.501228687979958,1.12808671875,73.42800435791015,92.23600576171874,0.941428125,77.94800484619141,94.24800522460937
66,3.5050873149525037,1.11639140625,73.79200383300781,92.53400483398437,0.93923125,78.018004296875,94.29000581054687
67,3.5061260656877,1.1766328125,73.60000379638672,92.36200480957031,0.93621640625,78.13800435791016,94.27800537109376
68,3.486260769583962,1.12344921875,73.86800415039062,92.41600554199219,0.93413671875,78.14400456542968,94.34400522460938
69,3.5229903004386207,1.1163609375,73.4300040649414,92.42600627441406,0.9320421875,78.11600454101563,94.368005859375
70,3.508842780373313,1.0988640625,73.94200463867188,92.44200541992187,0.93010703125,78.12400485839844,94.364005859375
71,3.479246421293779,1.095778125,74.01200382080079,92.41200642089844,0.92776484375,78.17000396728515,94.40200544433594
72,3.511894889311357,1.13373515625,73.70200454101563,92.6140056640625,0.9252375,78.23600439453125,94.40400563964843
73,3.5016465837305244,1.129553125,74.12800394287109,92.53000588378906,0.92345234375,78.30600390625,94.4680056640625
74,3.4221588308160955,1.1351,73.56200374755859,92.21400620117187,0.92241640625,78.37800445556641,94.45800510253906
75,3.4222792798822574,1.09521015625,74.21600360107422,92.53200583496094,0.92092109375,78.3980048828125,94.4440056640625
76,3.489738108895042,1.14187734375,73.5400044555664,92.43400571289062,0.919940625,78.35200490722656,94.51000581054687
77,3.531106983531605,1.11799609375,74.45400422363281,92.76200546875,0.91793671875,78.3960047241211,94.52200578613281
78,3.484631885181774,1.115553125,74.2800044921875,92.53400520019531,0.91617421875,78.4400044921875,94.53400522460937
79,3.3956649866971103,1.12085234375,74.46200380859375,92.66600576171875,0.91501484375,78.53600473632812,94.56600517578126
80,3.460169796510176,1.12073828125,74.09600430908203,92.48800615234374,0.9136859375,78.55600543212891,94.5760056640625
81,3.4354808677326547,1.1280203125,74.4920041015625,92.802005078125,0.9118234375,78.55600444335937,94.62200559082031
82,3.502949263832786,1.108484375,73.83400419921875,92.49800556640625,0.90985078125,78.63200474853515,94.63600554199219
83,3.4190070455724544,1.13419140625,74.02000386962891,92.50000544433594,0.9089171875,78.65400460205078,94.63000576171875
84,3.4875168106772683,1.09296171875,74.3640038696289,92.6600056640625,0.906996875,78.60600526123046,94.62200544433594
85,3.41080848086964,1.08562734375,74.51600443115234,92.78600554199218,0.90585625,78.67000457763672,94.63400583496093
86,3.4575717882676558,1.087471875,74.68600401611329,92.78200537109375,0.90443515625,78.68200495605468,94.62000532226563
87,3.502519889311357,1.082534375,74.87600447998047,92.82800529785156,0.90327265625,78.72000498046874,94.68600561523438
